px,py,pz,o00,o01,o02,o10,o11,o12,o20,o21,o22
6.132250000000000201e-01,-1.097700000000000065e-02,5.553930000000000256e-01,-1.020619999999999999e-01,9.875599999999999934e-01,1.196160000000000001e-01,8.609520000000000506e-01,2.745300000000000171e-02,5.079449999999999799e-01,4.983429999999999804e-01,1.548249999999999904e-01,-8.530440000000000245e-01
6.187369999999999814e-01,8.179200000000000359e-02,4.612600000000000033e-01,-7.883500000000000230e-02,9.930029999999999690e-01,8.792200000000000015e-02,9.808609999999999829e-01,6.151399999999999924e-02,1.847360000000000113e-01,1.780349999999999988e-01,1.008030000000000037e-01,-9.788470000000000226e-01
6.223090000000000011e-01,1.010199999999999987e-01,3.649000000000000021e-01,-6.128900000000000320e-02,9.866850000000000342e-01,1.506550000000000111e-01,9.944089999999999874e-01,7.336499999999999966e-02,-7.595000000000000362e-02,-8.599099999999999799e-02,1.451570000000000082e-01,-9.856650000000000134e-01
6.191119999999999957e-01,5.533099999999999824e-02,2.149349999999999872e-01,-6.175200000000000133e-02,9.826529999999999987e-01,1.748679999999999957e-01,8.483439999999999870e-01,1.439789999999999959e-01,-5.094929999999999737e-01,-5.258319999999999661e-01,1.168860000000000038e-01,-8.425190000000000179e-01
